광고소재명,광고소재등록일,광고소재초수,대업종 분류,중업종 분류,소업종 분류,광고주명,광고회사명,광고제작사
"삼성전자_삼성 갤럭시 S22 : 쭉 이어 활짝 이루다,리얼하게 포착하는 순간편_30",2022-05-27,30,컴퓨터및정보통신,통신기기,휴대폰,삼성전자(주),(주)제일기획,크리에이티브멋
한국코카콜라_스프라이트 : STAY COOL Sprite편_15,2022-05-27,15,음료및기호식품,비알콜음료,사이다,한국코카콜라유한회사,(주)캐러트코리아,제일기획
바디프랜드_바디프랜드 : Be the Legend 손흥민편_15,2022-05-27,15,가정용품,가정용품기타,가정용품기타,주식회사 바디프랜드,TBWA KOREA(주),(주)바디프랜드
코빗_코빗:메이커 인센티브편_30,2022-05-27,30,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권기타",주식회사 코빗,(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문
엘지전자_LG올레드TV:차원이 다른편_45,2022-05-27,45,가정용전기전자,영상기기,TV,엘지전자(주),(주)에이치에스애드,(주)꾸욱꾸욱
부산광역시선거관리위원회_투표참여:잊지 말고 투표하세요 수정편_20,2022-05-27,20,관공서및단체,단체,공공단체,부산광역시선거관리위원회,(주)애드맥스,애드맥스
테일러메이드코리아_ST 드라이버:드림챌린지편_15,2022-05-27,15,가정용품,"취미,레저용품",골프용품,(유)테일러메이드코리아,(주)이노션,이노션
기아_니로 플러스:새로운 모빌리티 생활편_30,2022-05-27,30,수송기기,승용자동차,다목적승용차,기아 주식회사,(주)이노션,스튜디오윌슨
유니세프_후원문의:우크라이나편_30,2022-05-27,30,관공서및단체,단체,민간단체,사단법인 유니세프한국위원회,(주)대홍기획,대홍기획
롯데컬처웍스_탑건매버릭:First Day편_30,2022-05-26,30,서비스,문화및공연,영화,롯데컬처웍스(주),(주)이노션,이노션
"아모레퍼시픽_해피바스 스킨유 샤워젤 : Be your scent, SKIN U편_30",2022-05-26,30,화장품및보건용품,모발 및 목욕용제,목욕및바디제품,(주)아모레퍼시픽,(주)제일기획,제일기획
"삼성전자_ BESPOKE 냉장고: ORIGINAL SERIES,와인냉장고편_30",2022-05-26,30,가정용전기전자,주방용전기전자,냉장고,삼성전자(주),(주)제일기획,제일기획
한국코카콜라_스프라이트 : STAY COOL Sprite편_15,2022-05-26,15,음료및기호식품,비알콜음료,사이다,한국코카콜라유한회사,(주)캐러트코리아,제일기획
"한양_한양 수자인 : 밸런스, 오늘의 집이 되다편_15",2022-05-26,15,"건설,건재및부동산","건설,건재및부동산기타","건설,건재및부동산기업PR",주식회사 한양,(주)디디비코리아,스페셜케미스트리
경남기업_용인 경남아너스빌 디센트:그랜드오픈_15,2022-05-26,15,"건설,건재및부동산",부동산임대및매매,아파트임대및매매,경남기업(주),(주)로빈스앤컴퍼니,아이스께끼 필름프러덕션
청안홀딩스_kc월드카프라자:수입차 공식인증 중고차편_20,2022-05-26,20,서비스,서비스기타,서비스기업PR,(주)청안홀딩스,(주)경남미디어,동영미디어
콜핑_콜핑 브랜드 PR : 가치있는 캠핑편_15,2022-05-26,15,패션,패션기타,패션기업PR,콜핑,(주)서현애드,프로덕션 모던
일동후디스_후디스 그릭요거트 : 어남선생의 그릭 레시피편_15,2022-05-26,15,음료및기호식품,비알콜음료,호상요구르트,일동후디스(주),(주)유니기획,(주)유니기획
국경없는의사회_정기후원:최용준편_30,2022-05-26,30,관공서및단체,단체,민간단체,국경없는의사회 한국,(주)커뮤니케이션 제이,(주)다인디자인컨설팅
롯데컬처웍스_탑건 매버릭 : 6월22일 대개봉편_15,2022-05-26,15,서비스,문화및공연,영화,롯데컬처웍스(주),(주)이노션,이노션
"롯데하이마트_하이마트 : 더위를 잊고 시원하게 놀래편,2차자막용_15",2022-05-26,15,유통,대형유통,전자테마점,롯데하이마트(주),(주)대홍기획,대홍기획
"삼성전자_ BESPOKE 냉장고:ORIGINAL SERIES,소믈리에앳홈편_15",2022-05-26,15,가정용전기전자,주방용전기전자,냉장고,삼성전자(주),(주)제일기획,제일기획
